,perimeter,points,ucs3bi,ucs3mono,ucs3tri
77,0.8235504091510888,"[<search.State instance at 0x86faf38>, <search.State instance at 0x86fa7a0>, <search.State instance at 0x86fa440>]",679,816,320
78,0.8188708952548864,"[<search.State instance at 0x4792a28>, <search.State instance at 0x4792a70>, <search.State instance at 0x87dd758>]",1796,1598,905
79,0.7324008120718078,"[<search.State instance at 0x833b3b0>, <search.State instance at 0x833b638>, <search.State instance at 0x833b908>]",476,1118,488
80,0.4539774255407461,"[<search.State instance at 0x8ecb8c0>, <search.State instance at 0x8ecb290>, <search.State instance at 0x8ecbb90>]",203,326,181
81,0.889959528895357,"[<search.State instance at 0x88bb3b0>, <search.State instance at 0x88bb518>, <search.State instance at 0x88bb488>]",249,355,115
82,0.740975851681727,"[<search.State instance at 0x8ecb200>, <search.State instance at 0x8ecb6c8>, <search.State instance at 0x8ecb830>]",85,182,90
83,0.8549183669702045,"[<search.State instance at 0x98ff518>, <search.State instance at 0x98ff950>, <search.State instance at 0x8ecbf80>]",265,265,128
84,0.7561047329437882,"[<search.State instance at 0x4b7ee60>, <search.State instance at 0x4b7e7e8>, <search.State instance at 0x4b7e830>]",891,1368,507
85,0.5749491607794884,"[<search.State instance at 0x4801c68>, <search.State instance at 0x4801368>, <search.State instance at 0x4d09b90>]",193,203,150
86,0.6000767552827677,"[<search.State instance at 0x4fc9a28>, <search.State instance at 0x4fc9d88>, <search.State instance at 0x4fc9128>]",264,328,156
87,0.9143041202995409,"[<search.State instance at 0x4b20878>, <search.State instance at 0x4b20d40>, <search.State instance at 0x4b20b00>]",509,1059,520
88,0.6787733540816062,"[<search.State instance at 0x84f5680>, <search.State instance at 0x84f5ea8>, <search.State instance at 0x84f5cb0>]",616,967,645
89,0.9964970980068585,"[<search.State instance at 0x88c5f80>, <search.State instance at 0x88c5ea8>, <search.State instance at 0x88c5440>]",1701,1792,830
90,0.4889020254009403,"[<search.State instance at 0x49ad050>, <search.State instance at 0x49ad878>, <search.State instance at 0x49ade18>]",452,494,239
91,0.7811114765816545,"[<search.State instance at 0x86fa560>, <search.State instance at 0x86faab8>, <search.State instance at 0x86fa5f0>]",422,642,257
92,0.7743066669215204,"[<search.State instance at 0x8b348c0>, <search.State instance at 0x8b347e8>, <search.State instance at 0x8b34488>]",865,916,342
93,0.7095076394018462,"[<search.State instance at 0x8ecb5a8>, <search.State instance at 0x8ecbb00>, <search.State instance at 0x8ecbdd0>]",686,566,228
94,0.9464344463667635,"[<search.State instance at 0x4ffa998>, <search.State instance at 0x4b20368>, <search.State instance at 0x4b204d0>]",405,305,466
95,0.6388309554515244,"[<search.State instance at 0x4ffa6c8>, <search.State instance at 0x4ffa7a0>, <search.State instance at 0x4ffa518>]",525,738,207
96,0.6451719536259964,"[<search.State instance at 0x8962518>, <search.State instance at 0x8962c68>, <search.State instance at 0x89625f0>]",280,329,234
97,0.8824209255000989,"[<search.State instance at 0x833b680>, <search.State instance at 0x833b200>, <search.State instance at 0x833bb90>]",374,1168,374
98,0.959961422194195,"[<search.State instance at 0x8962560>, <search.State instance at 0x8962710>, <search.State instance at 0x88cfcb0>]",1543,2013,768
99,0.9255275065144594,"[<search.State instance at 0x4b7e758>, <search.State instance at 0x4b7e368>, <search.State instance at 0x4b7e3f8>]",747,922,476
